Accidentes de tránsito terrestre
,Año de ocurrencia : 2015
,Causa del accidente : Total
,Clase de accidente : Total
,Cond aliento alcoholico : Total
,Cond uso cinturon : Total
,Dia de ocurrencia : Total
,Edad accidentado : Total
,Ent y mun de ocurrencia : Ciudad de México
,Mes de ocurrencia : Total
,Superficie rodamiento : Total
,Zona ocurrio accidente : Total
,

Consulta de: Accidentes de tránsito   Por: Tipo de accidente   Según: Sexo conductor
 , Total, Se fugó, Hombre, Mujer
 Total,"12,337","1,189","9,546","1,602"
 Colisión con vehículo automotor,"8,104", 865,"6,089","1,150"
 Colisión con peatón (atropellamiento), 748, 154, 555, 39
 Colisión con animal, 5, 1, 4, 
 Colisión con objeto fijo,"2,421", 62,"2,057", 302
 Volcadura, 65, 10, 50, 5
 Caída de pasajero, 45, 5, 38, 2
 Salida del camino, 6, 1, 5, 
 Incendio, 1, , 1, 
 Colisión con ferrocarril, 1, 1, , 
 Colisión con motocicleta, 713, 73, 574, 66
 Colisión con ciclista, 132, 13, 107, 12
 Otro, 96, 4, 66, 26


FUENTE: INEGI. Estadísticas de accidentes de tránsito terrestre en zonas urbanas y suburbanas.
